 ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------ 
|                          Encoder statistics. This file is generated during first encoding session, new sessions will be appended                                                                                                                                                                                 |
 ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------ 
|     ver     | Date  | Time  |               Sequence                 | #Img |P/MbInt| QPI| QPP| QPB| Format  |Iperiod| #B | FMES | Hdmd | S.R |#Ref | Freq |Coding|RD-opt|Intra upd|8x8Tr| SNRY 1| SNRU 1| SNRV 1| SNRY N| SNRU N| SNRV N|#Bitr I|#Bitr P|#Bitr B|#Bitr IPB|     Total Time   |      Me Time     |
| 18.5/(FRExt)| 23-Ma | 09:59 |e/kai/git_repos/obme/b/../bowing_cif.yuv|   10 |  0/0  | 25 | 28 | 30 | 352x288 |    1  |  0 |  FFS |  022 |  32 |  5  |  3.00| CABAC|   1  |   OFF   |  0  | 43.186| 46.290| 47.071| 43.186| 46.290| 47.071| 174468|      0|      0|   174521|           1112   |              0   |
| 18.5/(FRExt)| 23-Ma | 10:02 |e/kai/git_repos/obme/b/../bowing_cif.yuv|   10 |  0/0  | 25 | 28 | 30 | 352x288 |    1  |  0 |  FFS |  022 |  32 |  5  |  3.00| CABAC|   1  |   OFF   |  0  | 43.186| 46.290| 47.071| 43.186| 46.290| 47.071| 174468|      0|      0|   174521|           1121   |              0   |
| 18.5/(FRExt)| 23-Ma | 10:04 |e/kai/git_repos/obme/b/../bowing_cif.yuv|   10 |  0/0  | 25 | 28 | 30 | 352x288 |    1  |  0 |  FFS |  022 |  32 |  5  |  3.00| CABAC|   1  |   OFF   |  0  | 43.186| 46.290| 47.071| 43.186| 46.290| 47.071| 174468|      0|      0|   174521|           1116   |              0   |
| 18.5/(FRExt)| 23-Ma | 10:06 |e/kai/git_repos/obme/b/../bowing_cif.yuv|   10 |  0/0  | 25 | 28 | 30 | 352x288 |    1  |  0 |  FFS |  022 |  32 |  5  |  3.00| CABAC|   1  |   OFF   |  0  | 43.186| 46.290| 47.071| 43.186| 46.290| 47.071| 174468|      0|      0|   174521|           1115   |              0   |
| 18.5/(FRExt)| 23-Ma | 10:12 |e/kai/git_repos/obme/b/../bowing_cif.yuv|   10 |  0/0  | 25 | 28 | 30 | 352x288 |    1  |  0 |  FFS |  022 |  32 |  5  |  3.00| CABAC|   1  |   OFF   |  0  | 43.186| 46.290| 47.071| 43.186| 46.290| 47.071| 174468|      0|      0|   174521|           1119   |              0   |
| 18.5/(FRExt)| 23-Ma | 10:18 |e/kai/git_repos/obme/b/../bowing_cif.yuv|   10 |  0/0  | 25 | 28 | 30 | 352x288 |    1  |  0 |  FFS |  022 |  32 |  5  |  3.00| CABAC|   1  |   OFF   |  0  | 43.186| 46.290| 47.071| 43.186| 46.290| 47.071| 174468|      0|      0|   174521|           1117   |              0   |
| 18.5/(FRExt)| 23-Ma | 10:19 |e/kai/git_repos/obme/b/../bowing_cif.yuv|   10 |  0/0  | 25 | 28 | 30 | 352x288 |    1  |  0 |  FFS |  022 |  32 |  5  |  3.00| CABAC|   1  |   OFF   |  0  | 43.186| 46.290| 47.071| 43.186| 46.290| 47.071| 174468|      0|      0|   174521|           1119   |              0   |
| 18.5/(FRExt)| 23-Ma | 10:20 |e/kai/git_repos/obme/b/../bowing_cif.yuv|   10 |  0/0  | 25 | 28 | 30 | 352x288 |    1  |  0 |  FFS |  022 |  32 |  5  |  3.00| CABAC|   1  |   OFF   |  0  | 43.186| 46.290| 47.071| 43.186| 46.290| 47.071| 174468|      0|      0|   174521|           1115   |              0   |
| 18.5/(FRExt)| 23-Ma | 10:27 |e/kai/git_repos/obme/b/../bowing_cif.yuv|   10 |  0/0  | 25 | 28 | 30 | 352x288 |    1  |  0 |  FFS |  022 |  32 |  5  |  3.00| CABAC|   1  |   OFF   |  0  | 43.186| 46.290| 47.071| 43.186| 46.290| 47.071| 174468|      0|      0|   174521|           1120   |              0   |
| 18.5/(FRExt)| 23-Ma | 10:33 |e/kai/git_repos/obme/b/../bowing_cif.yuv|   10 |  0/0  | 25 | 28 | 30 | 352x288 |    1  |  0 |  FFS |  022 |  32 |  5  |  3.00| CABAC|   1  |   OFF   |  0  | 43.186| 46.290| 47.071| 43.186| 46.290| 47.071| 174468|      0|      0|   174521|           1114   |              0   |
| 18.5/(FRExt)| 23-Ma | 10:34 |e/kai/git_repos/obme/b/../bowing_cif.yuv|   10 |  0/0  | 25 | 28 | 30 | 352x288 |    1  |  0 |  FFS |  022 |  32 |  5  |  3.00| CABAC|   1  |   OFF   |  0  | 43.186| 46.290| 47.071| 43.186| 46.290| 47.071| 174468|      0|      0|   174521|           1129   |              0   |
| 18.5/(FRExt)| 23-Ma | 10:34 |e/kai/git_repos/obme/b/../bowing_cif.yuv|   10 |  0/0  | 25 | 28 | 30 | 352x288 |    1  |  0 |  FFS |  022 |  32 |  5  |  3.00| CABAC|   1  |   OFF   |  0  | 43.186| 46.290| 47.071| 43.186| 46.290| 47.071| 174468|      0|      0|   174521|           1120   |              0   |
| 18.5/(FRExt)| 23-Ma | 10:51 |e/kai/git_repos/obme/b/../bowing_cif.yuv|   10 |  0/0  | 25 | 28 | 30 | 352x288 |    1  |  0 |  FFS |  022 |  32 |  5  |  3.00| CABAC|   1  |   OFF   |  0  | 43.186| 46.290| 47.071| 43.186| 46.290| 47.071| 174468|      0|      0|   174521|           1122   |              0   |
| 18.5/(FRExt)| 23-Ma | 10:53 |e/kai/git_repos/obme/b/../bowing_cif.yuv|   10 |  0/0  | 25 | 28 | 30 | 352x288 |    1  |  0 |  FFS |  022 |  32 |  5  |  3.00| CABAC|   1  |   OFF   |  0  | 43.186| 46.290| 47.071| 43.186| 46.290| 47.071| 174468|      0|      0|   174521|           1128   |              0   |
| 18.5/(FRExt)| 23-Ma | 11:09 |e/kai/git_repos/obme/b/../bowing_cif.yuv|   10 |  0/0  | 25 | 28 | 30 | 352x288 |    1  |  0 |  FFS |  022 |  32 |  5  |  3.00| CABAC|   1  |   OFF   |  0  | 43.186| 46.290| 47.071| 43.186| 46.290| 47.071| 174468|      0|      0|   174521|           1120   |              0   |
| 18.5/(FRExt)| 23-Ma | 11:09 |e/kai/git_repos/obme/b/../bowing_cif.yuv|   10 |  0/0  | 25 | 28 | 30 | 352x288 |    1  |  0 |  FFS |  022 |  32 |  5  |  3.00| CABAC|   1  |   OFF   |  0  | 43.186| 46.290| 47.071| 43.186| 46.290| 47.071| 174468|      0|      0|   174521|           1124   |              0   |
| 18.5/(FRExt)| 23-Ma | 11:13 |e/kai/git_repos/obme/b/../bowing_cif.yuv|   10 |  0/0  | 25 | 28 | 30 | 352x288 |    1  |  0 |  FFS |  022 |  32 |  5  |  3.00| CABAC|   1  |   OFF   |  0  | 43.186| 46.290| 47.071| 43.186| 46.290| 47.071| 174468|      0|      0|   174521|           1123   |              0   |
| 18.5/(FRExt)| 23-Ma | 11:13 |e/kai/git_repos/obme/b/../bowing_cif.yuv|   10 |  0/0  | 25 | 28 | 30 | 352x288 |    1  |  0 |  FFS |  022 |  32 |  5  |  3.00| CABAC|   1  |   OFF   |  0  | 43.186| 46.290| 47.071| 43.186| 46.290| 47.071| 174468|      0|      0|   174521|           1118   |              0   |
| 18.5/(FRExt)| 23-Ma | 11:14 |e/kai/git_repos/obme/b/../bowing_cif.yuv|   10 |  0/0  | 25 | 28 | 30 | 352x288 |    1  |  0 |  FFS |  022 |  32 |  5  |  3.00| CABAC|   1  |   OFF   |  0  | 43.186| 46.290| 47.071| 43.186| 46.290| 47.071| 174468|      0|      0|   174521|           1121   |              0   |
| 18.5/(FRExt)| 23-Ma | 11:22 |e/kai/git_repos/obme/b/../bowing_cif.yuv|   10 |  0/0  | 25 | 28 | 30 | 352x288 |    1  |  0 |  FFS |  022 |  32 |  5  |  3.00| CABAC|   1  |   OFF   |  0  | 43.186| 46.290| 47.071| 43.186| 46.290| 47.071| 174468|      0|      0|   174521|           1128   |              0   |
| 18.5/(FRExt)| 23-Ma | 11:22 |e/kai/git_repos/obme/b/../bowing_cif.yuv|   10 |  0/0  | 25 | 28 | 30 | 352x288 |    1  |  0 |  FFS |  022 |  32 |  5  |  3.00| CABAC|   1  |   OFF   |  0  | 43.186| 46.290| 47.071| 43.186| 46.290| 47.071| 174468|      0|      0|   174521|           1118   |              0   |
| 18.5/(FRExt)| 23-Ma | 11:24 |e/kai/git_repos/obme/b/../bowing_cif.yuv|   10 |  0/0  | 25 | 28 | 30 | 352x288 |    1  |  0 |  FFS |  022 |  32 |  5  |  3.00| CABAC|   1  |   OFF   |  0  | 43.186| 46.290| 47.071| 43.186| 46.290| 47.071| 174468|      0|      0|   174521|           1121   |              0   |
| 18.5/(FRExt)| 23-Ma | 13:45 |e/kai/git_repos/obme/b/../bowing_cif.yuv|   10 |  0/0  | 25 | 28 | 30 | 352x288 |    1  |  0 |  FFS |  022 |  32 |  5  |  3.00| CABAC|   1  |   OFF   |  0  | 43.186| 46.290| 47.071| 43.186| 46.290| 47.071| 174468|      0|      0|   174521|           1113   |              0   |
| 18.5/(FRExt)| 23-Ma | 13:45 |e/kai/git_repos/obme/b/../bowing_cif.yuv|  100 |  0/0  | 25 | 28 | 30 | 352x288 |    1  |  0 |  FFS |  022 |  32 |  5  | 30.00| CABAC|   1  |   OFF   |  0  | 42.935| 46.209| 46.919| 42.935| 46.209| 46.919|1744954|      0|      0|  1745006|          11394   |              0   |
| 18.5/(FRExt)| 23-Ma | 18:46 |e/kai/git_repos/obme/b/../bowing_cif.yuv|   10 |  0/0  | 25 | 28 | 30 | 352x288 |    1  |  0 |  FFS |  022 |  32 |  5  |  3.00| CABAC|   1  |   OFF   |  0  | 43.186| 46.290| 47.071| 43.186| 46.290| 47.071| 174468|      0|      0|   174521|           1117   |              0   |
| 18.5/(FRExt)| 23-Ma | 18:46 |e/kai/git_repos/obme/b/../bowing_cif.yuv|  100 |  0/0  | 25 | 28 | 30 | 352x288 |    1  |  0 |  FFS |  022 |  32 |  5  | 30.00| CABAC|   1  |   OFF   |  0  | 42.935| 46.209| 46.919| 42.935| 46.209| 46.919|1744954|      0|      0|  1745006|          11413   |              0   |
